image,x,y,w,h,label,abs_pos
\content\images\302.png,548,562,597,601,𒄀,p_302_line_12_pos_13.png
\content\images\302.png,606,563,657,596,𒅖,p_302_line_12_pos_14.png
\content\images\302.png,661,563,706,599,𒇻,p_302_line_12_pos_15.png
\content\images\302.png,18,616,41,649,𒀀,p_302_line_13_pos_1.png
\content\images\302.png,63,616,96,647,𒇽,p_302_line_13_pos_2.png
\content\images\302.png,15,717,37,749,𒀀,p_302_line_15_pos_1.png
\content\images\302.png,43,714,75,748,𒇽,p_302_line_15_pos_2.png
\content\images\302.png,95,716,163,750,𒉺𒇻,p_302_line_15_pos_3.png
\content\images\302.png,177,715,253,749,𒀲,p_302_line_15_pos_4.png
\content\images\302.png,261,717,292,747,𒆳,p_302_line_15_pos_5.png
\content\images\302.png,296,714,349,750,𒊏,p_302_line_15_pos_6.png
\content\images\302.png,354,715,386,747,𒁷,p_302_line_15_pos_7.png
\content\images\302.png,391,714,453,750,𒌁,p_302_line_15_pos_8.png
\content\images\302.png,457,706,500,751,𒆠,p_302_line_15_pos_9.png
\content\images\302.png,509,713,557,747,𒌗,p_302_line_15_pos_10.png
\content\images\302.png,561,715,597,746,𒄞,p_302_line_15_pos_11.png
\content\images\302.png,36,768,52,798,𒁹,p_302_line_16_pos_1.png
\content\images\302.png,52,766,97,799,𒆪,p_302_line_16_pos_2.png
\content\images\302.png,110,764,150,796,𒆜,p_302_line_16_pos_3.png
\content\images\302.png,175,762,221,796,𒈗,p_302_line_16_pos_4.png
\content\images\302.png,228,763,259,799,𒁷,p_302_line_16_pos_5.png
\content\images\302.png,264,762,322,797,𒌁,p_302_line_16_pos_6.png
\content\images\302.png,332,757,373,801,𒆠,p_302_line_16_pos_7.png
\content\images\302.png,411,762,462,797,𒈗,p_302_line_16_pos_8.png
\content\images\302.png,483,764,512,798,𒆳,p_302_line_16_pos_9.png
\content\images\302.png,525,763,557,798,𒆳,p_302_line_16_pos_10.png
\content\images\304.png,116,13,154,43,𒈠,p_304_line_1_pos_1.png
\content\images\304.png,163,13,210,46,𒆷,p_304_line_1_pos_2.png
\content\images\304.png,219,13,262,43,𒄷,p_304_line_1_pos_3.png
\content\images\304.png,270,12,318,42,𒌑,p_304_line_1_pos_4.png
\content\images\304.png,328,11,395,44,𒌅,p_304_line_1_pos_5.png
\content\images\304.png,410,11,438,45,𒃻,p_304_line_1_pos_6.png
\content\images\304.png,451,19,476,35,𒀸,p_304_line_1_pos_7.png
\content\images\304.png,486,12,517,42,𒈨,p_304_line_1_pos_8.png
\content\images\304.png,517,9,548,39,𒌓,p_304_line_1_pos_9.png
\content\images\304.png,553,4,596,46,𒆠,p_304_line_1_pos_10.png
\content\images\304.png,227,65,273,100,𒂍,p_304_line_2_pos_3.png
\content\images\304.png,411,61,437,89,𒌓,p_304_line_2_pos_8.png
\content\images\304.png,16,115,42,144,𒀀,p_304_line_3_pos_1.png
\content\images\304.png,47,113,90,154,𒋙,p_304_line_3_pos_2.png
\content\images\304.png,19,165,66,200,𒌗,p_304_line_4_pos_1.png
\content\images\304.png,79,167,122,200,𒄞,p_304_line_4_pos_2.png
\content\images\304.png,135,166,173,199,𒈬,p_304_line_4_pos_3.png
\content\images\304.png,186,167,219,208,𒐍,p_304_line_4_pos_4.png
\content\images\304.png,225,165,270,199,𒄰,p_304_line_4_pos_5.png
\content\images\304.png,275,165,291,196,𒁹,p_304_line_4_pos_6.png
\content\images\304.png,295,164,325,197,𒆳,p_304_line_4_pos_7.png
\content\images\304.png,329,161,367,197,𒆜,p_304_line_4_pos_8.png
\content\images\304.png,387,160,436,194,𒈗,p_304_line_4_pos_9.png
\content\images\304.png,454,161,495,197,𒂊,p_304_line_4_pos_10.png
\content\images\304.png,505,154,545,196,𒆠,p_304_line_4_pos_11.png
\content\images\304.png,563,161,612,194,𒈗,p_304_line_4_pos_12.png
\content\images\304.png,630,162,659,193,𒆳,p_304_line_4_pos_13.png
\content\images\304.png,665,160,695,192,𒆳,p_304_line_4_pos_14.png
\content\images\304.png,17,215,40,243,𒀀,p_304_line_5_pos_1.png
\content\images\304.png,40,207,84,252,𒁲,p_304_line_5_pos_2.png
\content\images\304.png,95,206,140,251,𒆠,p_304_line_5_pos_3.png
\content\images\304.png,147,211,214,245,𒀉,p_304_line_5_pos_4.png
\content\images\304.png,230,211,271,243,𒈬,p_304_line_5_pos_5.png
\content\images\304.png,275,210,317,239,𒀭,p_304_line_5_pos_6.png
\content\images\304.png,320,209,365,240,𒈾,p_304_line_5_pos_7.png
\content\images\304.png,378,219,404,238,𒀸,p_304_line_5_pos_8.png
\content\images\304.png,411,210,444,241,𒅆,p_304_line_5_pos_9.png
\content\images\304.png,462,210,482,240,𒁹,p_304_line_5_pos_10.png
\content\images\304.png,20,264,34,296,𒁹,p_304_line_6_pos_1.png
\content\images\304.png,41,263,106,305,𒀭+𒂗,p_304_line_6_pos_2.png
\content\images\304.png,178,263,216,300,𒌇,p_304_line_6_pos_4.png
\content\images\304.png,228,263,256,293,𒀀,p_304_line_6_pos_5.png
\content\images\304.png,263,263,282,293,𒁹,p_304_line_6_pos_6.png
\content\images\304.png,286,262,324,295,𒆕,p_304_line_6_pos_7.png
\content\images\304.png,326,264,363,293,𒌍,p_304_line_6_pos_8.png
\content\images\304.png,366,261,407,292,𒀭,p_304_line_6_pos_9.png
\content\images\304.png,426,263,456,295,𒀀,p_304_line_6_pos_10.png
\content\images\304.png,464,261,508,293,𒈾,p_304_line_6_pos_11.png
\content\images\304.png,531,258,575,294,𒂊,p_304_line_6_pos_12.png
\content\images\304.png,590,261,653,297,𒄫,p_304_line_6_pos_13.png
\content\images\304.png,657,262,701,294,𒈨𒌍,p_304_line_6_pos_14.png
\content\images\304.png,14,365,39,393,𒀀,p_304_line_8_pos_1.png
\content\images\304.png,47,362,86,392,𒈾,p_304_line_8_pos_2.png
\content\images\304.png,99,365,130,392,𒌋𒌋,p_304_line_8_pos_3.png
\content\images\304.png,175,366,225,401,𒀠,p_304_line_8_pos_5.png
\content\images\304.png,240,364,299,396,𒌈,p_304_line_8_pos_6.png
\content\images\304.png,373,363,432,399,𒂆,p_304_line_8_pos_8.png
\content\images\304.png,443,360,501,394,𒆬,p_304_line_8_pos_9.png
\content\images\304.png,16,412,51,446,𒇽,p_304_line_9_pos_1.png
\content\images\304.png,64,413,106,453,𒂗,p_304_line_9_pos_2.png
\content\images\304.png,120,416,150,441,𒌋𒌋,p_304_line_9_pos_3.png
\content\images\304.png,159,415,189,446,𒍝,p_304_line_9_pos_4.png
\content\images\304.png,269,412,329,446,𒌈,p_304_line_9_pos_6.png
\content\images\304.png,365,409,408,445,𒂊,p_304_line_9_pos_7.png
\content\images\304.png,421,411,452,446,𒆳,p_304_line_9_pos_8.png
\content\images\304.png,548,406,614,444,𒋞,p_304_line_9_pos_10.png
\content\images\304.png,18,448,59,485,𒆠,p_304_line_10_pos_1.png
\content\images\304.png,75,454,113,483,𒄑,p_304_line_10_pos_2.png
\content\images\304.png,137,447,179,484,𒆠,p_304_line_10_pos_3.png
\content\images\304.png,197,452,253,481,𒊑,p_304_line_10_pos_4.png
\content\images\304.png,138,533,152,555,𒁹,p_304_line_11_pos_1.png
\content\images\304.png,257,559,275,584,𒁹,p_304_line_12_pos_1.png
\content\images\304.png,289,558,328,586,𒇽,p_304_line_12_pos_2.png
\content\images\304.png,91,661,138,693,𒄰,p_304_line_15_pos_1.png
\content\images\304.png,156,662,194,692,𒈬,p_304_line_15_pos_2.png
\content\images\304.png,202,663,242,701,𒐍,p_304_line_15_pos_3.png
\content\images\304.png,257,664,302,698,𒄰,p_304_line_15_pos_4.png
\content\images\304.png,316,664,336,693,𒁹,p_304_line_15_pos_5.png
\content\images\304.png,347,664,377,696,𒆳,p_304_line_15_pos_6.png
\content\images\304.png,391,662,432,694,𒆜,p_304_line_15_pos_7.png
\content\images\304.png,450,661,500,693,𒈗,p_304_line_15_pos_8.png
\content\images\304.png,507,662,536,695,𒁷,p_304_line_15_pos_9.png
\content\images\304.png,545,660,603,695,𒌁,p_304_line_15_pos_10.png
\content\images\304.png,608,652,655,696,𒆠,p_304_line_15_pos_11.png
\content\images\304.png,16,712,65,744,𒈗,p_304_line_16_pos_1.png
\content\images\304.png,91,714,121,744,𒆳,p_304_line_16_pos_2.png
\content\images\304.png,143,713,173,745,𒆳,p_304_line_16_pos_3.png
\content\images\305.png,20,16,81,48,𒅎,p_305_line_1_pos_1.png
\content\images\305.png,94,17,111,46,𒁹,p_305_line_1_pos_2.png
\content\images\305.png,119,10,162,51,𒆠,p_305_line_1_pos_3.png
\content\images\305.png,170,19,208,51,𒄿,p_305_line_1_pos_4.png
\content\images\305.png,220,15,307,47,𒀭+𒈾,p_305_line_1_pos_5.png
\content\images\305.png,326,15,351,48,𒀀,p_305_line_1_pos_6.png
\content\images\305.png,19,69,35,99,𒁹,p_305_line_2_pos_1.png
\content\images\305.png,45,67,87,95,𒀭,p_305_line_2_pos_2.png
\content\images\305.png,89,67,137,98,𒁍,p_305_line_2_pos_3.png
\content\images\305.png,148,67,218,99,𒉈,p_305_line_2_pos_4.png
\content\images\305.png,234,66,310,99,𒉈,p_305_line_2_pos_5.png
\content\images\305.png,328,64,365,97,𒆕,p_305_line_2_pos_6.png
\content\images\305.png,17,117,85,157,𒀭+𒂗,p_305_line_3_pos_1.png
\content\images\305.png,101,121,121,144,𒌋,p_305_line_3_pos_2.png
\content\images\305.png,132,117,225,150,𒀭+𒈾,p_305_line_3_pos_3.png
\content\images\305.png,250,118,291,151,𒋗,p_305_line_3_pos_4.png
\content\images\305.png,304,119,364,152,𒈝,p_305_line_3_pos_5.png
\content\images\305.png,371,116,434,151,𒅗,p_305_line_3_pos_6.png
\content\images\305.png,81,158,130,201,𒆠,p_305_line_4_pos_3.png
\content\images\305.png,142,166,173,197,𒈨,p_305_line_4_pos_4.png
\content\images\305.png,191,166,219,200,𒀀,p_305_line_4_pos_5.png
\content\images\305.png,231,165,277,196,𒈾,p_305_line_4_pos_6.png
\content\images\305.png,287,165,326,198,𒇽,p_305_line_4_pos_7.png
\content\images\305.png,343,165,401,201,𒌝,p_305_line_4_pos_8.png
\content\images\305.png,402,168,439,196,𒌋𒌋,p_305_line_4_pos_9.png
\content\images\305.png,443,167,482,197,𒉡,p_305_line_4_pos_10.png
\content\images\305.png,489,169,525,200,𒄿,p_305_line_4_pos_11.png
\content\images\305.png,523,168,553,202,𒁷,p_305_line_4_pos_12.png
\content\images\305.png,16,215,83,249,𒅇,p_305_line_5_pos_1.png
\content\images\305.png,104,216,155,247,𒈪,p_305_line_5_pos_2.png
\content\images\305.png,163,215,227,248,𒉆,p_305_line_5_pos_3.png
\content\images\305.png,241,215,283,249,𒈠,p_305_line_5_pos_4.png
\content\images\305.png,304,214,364,246,𒌌,p_305_line_5_pos_5.png
\content\images\305.png,386,216,436,247,𒊑,p_305_line_5_pos_6.png
\content\images\305.png,443,215,486,251,𒄰,p_305_line_5_pos_7.png
\content\images\305.png,495,217,538,249,𒈠,p_305_line_5_pos_8.png
\content\images\305.png,16,268,45,299,𒊺,p_305_line_6_pos_1.png
\content\images\305.png,44,266,75,296,𒁇,p_305_line_6_pos_2.png
\content\images\305.png,106,267,172,300,𒌌,p_305_line_6_pos_3.png
\content\images\305.png,212,265,261,302,𒋫,p_305_line_6_pos_4.png
\content\images\305.png,282,265,319,297,𒀾,p_305_line_6_pos_5.png
\content\images\305.png,334,265,377,299,𒅆,p_305_line_6_pos_6.png
\content\images\305.png,32,317,83,350,𒌗,p_305_line_7_pos_1.png
\content\images\305.png,103,317,169,353,𒋞,p_305_line_7_pos_2.png
\content\images\305.png,211,314,244,349,𒌓,p_305_line_7_pos_3.png
\content\images\305.png,260,316,304,354,𒐋,p_305_line_7_pos_4.png
\content\images\305.png,320,314,368,351,𒄰,p_305_line_7_pos_5.png
\content\images\305.png,20,365,59,400,𒈬,p_305_line_8_pos_1.png
\content\images\305.png,74,366,115,408,𒐍,p_305_line_8_pos_2.png
\content\images\305.png,125,365,170,404,𒄰,p_305_line_8_pos_3.png
\content\images\305.png,188,366,207,396,𒁹,p_305_line_8_pos_4.png
\content\images\305.png,224,367,272,401,𒆪,p_305_line_8_pos_5.png
\content\images\305.png,291,363,338,396,𒆜,p_305_line_8_pos_6.png
\content\images\305.png,361,365,414,400,𒈗,p_305_line_8_pos_7.png
\content\images\305.png,417,364,452,403,𒁷,p_305_line_8_pos_8.png
\content\images\305.png,454,365,517,403,𒌁,p_305_line_8_pos_9.png
\content\images\305.png,521,359,566,404,𒆠,p_305_line_8_pos_10.png
\content\images\305.png,61,415,113,450,𒈗,p_305_line_9_pos_1.png
\content\images\305.png,128,418,160,451,𒆳,p_305_line_9_pos_2.png
\content\images\305.png,178,416,206,449,𒆳,p_305_line_9_pos_3.png
\content\images\305.png,251,407,297,452,𒆠,p_305_line_9_pos_4.png
\content\images\305.png,366,415,408,448,𒉻,p_305_line_9_pos_6.png
\content\images\305.png,407,417,463,451,𒄭𒀀,p_305_line_9_pos_7.png
\content\images\305.png,18,465,53,497,𒌓,p_305_line_10_pos_1.png
\content\images\305.png,61,467,98,500,𒐊,p_305_line_10_pos_2.png
\content\images\305.png,105,465,147,503,𒄰,p_305_line_10_pos_3.png
\content\images\305.png,166,467,195,501,𒃻,p_305_line_10_pos_4.png
\content\images\305.png,211,465,267,501,𒌗,p_305_line_10_pos_5.png
\content\images\305.png,284,465,353,503,𒋞,p_305_line_10_pos_6.png
\content\images\305.png,384,469,426,502,𒄿,p_305_line_10_pos_7.png
\content\images\306.png,111,108,156,141,𒌑,p_306_line_3_pos_1.png
\content\images\306.png,164,108,226,140,𒌅,p_306_line_3_pos_2.png
\content\images\306.png,264,108,294,141,𒀀,p_306_line_3_pos_3.png
\content\images\306.png,302,103,343,137,𒈾,p_306_line_3_pos_4.png
\content\images\306.png,352,107,373,139,𒁹,p_306_line_3_pos_5.png
\content\images\306.png,382,105,431,140,𒋫,p_306_line_3_pos_6.png
\content\images\306.png,435,106,500,143,𒆧,p_306_line_3_pos_7.png
\content\images\306.png,507,103,550,136,𒀭,p_306_line_3_pos_8.png
\content\images\306.png,555,106,587,138,𒈨,p_306_line_3_pos_9.png
\content\images\306.png,588,106,621,138,𒈨,p_306_line_3_pos_10.png
\content\images\306.png,51,156,123,192,𒅇,p_306_line_4_pos_1.png
\content\images\306.png,144,158,182,192,𒇽,p_306_line_4_pos_2.png
\content\images\306.png,202,160,241,190,𒈬,p_306_line_4_pos_3.png
\content\images\306.png,248,160,294,192,𒈨𒌍,p_306_line_4_pos_4.png
\content\images\306.png,326,159,374,192,𒋧,p_306_line_4_pos_5.png
\content\images\306.png,392,159,438,190,𒈾,p_306_line_4_pos_6.png
\content\images\306.png,15,208,65,242,𒌗,p_306_line_5_pos_1.png
\content\images\306.png,79,208,147,245,𒋞,p_306_line_5_pos_2.png
\content\images\306.png,162,209,195,242,𒌓,p_306_line_5_pos_3.png
\content\images\306.png,279,208,322,244,𒄰,p_306_line_5_pos_5.png
\content\images\306.png,358,208,400,240,𒈬,p_306_line_5_pos_6.png
\content\images\306.png,413,208,465,250,𒐍,p_306_line_5_pos_7.png
\content\images\306.png,14,259,34,290,𒁹,p_306_line_6_pos_1.png
\content\images\306.png,48,259,79,292,𒆳,p_306_line_6_pos_2.png
\content\images\306.png,195,257,246,291,𒈗,p_306_line_6_pos_4.png
\content\images\306.png,270,259,322,290,𒉣,p_306_line_6_pos_5.png
\content\images\306.png,336,251,381,294,𒆠,p_306_line_6_pos_6.png
\content\images\307.png,20,23,47,38,𒀸,p_307_line_1_pos_1.png
\content\images\307.png,54,8,88,42,𒌓,p_307_line_1_pos_2.png
\content\images\307.png,96,11,135,44,𒈬,p_307_line_1_pos_3.png
\content\images\307.png,153,6,188,47,𒊩,p_307_line_1_pos_4.png
\content\images\307.png,200,13,233,47,𒄭,p_307_line_1_pos_5.png
\content\images\307.png,237,12,279,47,𒂵,p_307_line_1_pos_6.png
\content\images\307.png,349,13,393,44,𒀭,p_307_line_1_pos_8.png
\content\images\307.png,405,11,459,44,𒅖,p_307_line_1_pos_9.png
\content\images\307.png,465,13,530,47,𒊬,p_307_line_1_pos_10.png
\content\images\307.png,14,60,70,98,𒌉,p_307_line_2_pos_1.png
\content\images\307.png,71,55,113,99,𒊩,p_307_line_2_pos_2.png
\content\images\307.png,118,60,175,93,𒋢,p_307_line_2_pos_3.png
\content\images\307.png,190,62,215,94,𒃻,p_307_line_2_pos_4.png
\content\images\307.png,227,62,246,96,𒁹,p_307_line_2_pos_5.png
\content\images\307.png,261,61,323,96,𒅀,p_307_line_2_pos_6.png
\content\images\307.png,337,60,368,94,𒊺,p_307_line_2_pos_7.png
\content\images\307.png,13,109,75,144,𒀉,p_307_line_3_pos_1.png
\content\images\307.png,87,110,145,140,𒋾,p_307_line_3_pos_2.png
\content\images\307.png,158,109,177,140,𒁹,p_307_line_3_pos_3.png
\content\images\307.png,190,106,233,141,𒆪,p_307_line_3_pos_4.png
\content\images\307.png,252,110,302,144,𒇻,p_307_line_3_pos_5.png
\content\images\307.png,313,108,365,140,𒌑,p_307_line_3_pos_6.png
\content\images\307.png,394,109,423,141,𒀀,p_307_line_3_pos_7.png
\content\images\307.png,427,110,476,148,𒋙,p_307_line_3_pos_8.png
\content\images\307.png,14,160,64,200,𒋫,p_307_line_4_pos_1.png
\content\images\307.png,75,160,124,198,𒋫,p_307_line_4_pos_2.png
\content\images\307.png,138,158,206,195,𒉆,p_307_line_4_pos_3.png
\content\images\307.png,220,158,281,193,𒈥,p_307_line_4_pos_4.png
\content\images\307.png,298,160,321,186,𒌋,p_307_line_4_pos_5.png
\content\images\307.png,336,165,364,182,𒀸,p_307_line_4_pos_6.png
\content\images\307.png,384,157,424,191,𒉿,p_307_line_4_pos_7.png
\content\images\307.png,436,152,500,190,𒅕,p_307_line_4_pos_8.png
\content\images\307.png,14,215,53,248,𒄿,p_307_line_5_pos_1.png
\content\images\307.png,68,217,103,246,𒋰,p_307_line_5_pos_2.png
\content\images\307.png,119,210,186,244,𒅗,p_307_line_5_pos_3.png
\content\images\307.png,196,211,241,242,𒅆,p_307_line_5_pos_4.png
\content\images\307.png,252,211,295,245,𒈠,p_307_line_5_pos_5.png
\content\images\307.png,327,204,373,246,𒁲,p_307_line_5_pos_6.png
\content\images\307.png,384,208,423,246,𒅕,p_307_line_5_pos_7.png
\content\images\307.png,435,209,486,244,𒁺,p_307_line_5_pos_8.png
\content\images\307.png,563,213,617,246,𒊑,p_307_line_5_pos_10.png
\content\images\307.png,10,266,31,294,𒌋,p_307_line_6_pos_1.png
\content\images\307.png,36,265,67,297,𒀀,p_307_line_6_pos_2.png
\content\images\307.png,78,262,128,294,𒈾,p_307_line_6_pos_3.png
\content\images\307.png,146,262,189,304,𒂗,p_307_line_6_pos_4.png
\content\images\307.png,198,261,245,296,𒂍,p_307_line_6_pos_5.png
\content\images\307.png,276,258,329,294,𒆷,p_307_line_6_pos_6.png
\content\images\307.png,361,259,412,296,𒋫,p_307_line_6_pos_7.png
\content\images\307.png,427,259,498,294,𒀝,p_307_line_6_pos_8.png
\content\images\307.png,525,259,575,294,𒁍,p_307_line_6_pos_9.png
\content\images\307.png,583,260,630,293,𒌑,p_307_line_6_pos_10.png
\content\images\307.png,15,312,73,346,𒌝,p_307_line_7_pos_1.png
\content\images\307.png,83,312,128,344,𒈠,p_307_line_7_pos_2.png
\content\images\307.png,143,312,173,344,𒀀,p_307_line_7_pos_3.png
\content\images\307.png,183,309,228,340,𒈾,p_307_line_7_pos_4.png
\content\images\307.png,236,311,257,343,𒁹,p_307_line_7_pos_5.png
\content\images\307.png,266,311,313,346,𒆗,p_307_line_7_pos_6.png
\content\images\307.png,329,312,366,344,𒁀,p_307_line_7_pos_7.png
\content\images\307.png,370,313,398,344,𒀀,p_307_line_7_pos_8.png
\content\images\307.png,417,312,469,344,𒀜,p_307_line_7_pos_9.png
\content\images\307.png,478,314,501,347,𒃻,p_307_line_7_pos_10.png
\content\images\307.png,508,312,528,344,𒁹,p_307_line_7_pos_11.png
\content\images\307.png,603,310,642,344,𒇻,p_307_line_7_pos_13.png
\content\images\307.png,647,307,702,342,𒌑,p_307_line_7_pos_14.png
\content\images\307.png,16,591,42,623,𒃻,p_307_line_12_pos_1.png
\content\images\307.png,256,640,284,670,𒀀,p_307_line_13_pos_6.png
\content\images\307.png,46,739,61,767,𒁹,p_307_line_15_pos_2.png
\content\images\307.png,67,738,134,778,𒀭+𒂗,p_307_line_15_pos_3.png
\content\images\308.png,15,19,43,44,𒈫,p_308_line_1_pos_1.png
\content\images\308.png,51,15,100,44,𒄥,p_308_line_1_pos_2.png
\content\images\308.png,134,14,180,44,𒉿,p_308_line_1_pos_4.png
\content\images\308.png,192,14,220,45,𒊺,p_308_line_1_pos_5.png
\content\images\308.png,228,10,271,42,𒆰,p_308_line_1_pos_6.png
\content\images\308.png,288,13,332,42,𒉿,p_308_line_1_pos_7.png
\content\images\308.png,344,13,394,55,𒂄,p_308_line_1_pos_8.png
\content\images\308.png,405,12,447,45,𒁍,p_308_line_1_pos_9.png
\content\images\308.png,455,13,491,43,𒂍,p_308_line_1_pos_10.png
\content\images\308.png,14,64,57,98,𒍑,p_308_line_2_pos_1.png
\content\images\308.png,119,63,168,97,𒁺,p_308_line_2_pos_3.png
\content\images\308.png,175,64,193,91,𒁹,p_308_line_2_pos_4.png
\content\images\308.png,198,63,281,93,𒀭+𒈾,p_308_line_2_pos_5.png
\content\images\308.png,288,61,336,93,𒆰,p_308_line_2_pos_6.png
\content\images\308.png,385,64,409,93,𒀀,p_308_line_2_pos_8.png
\content\images\308.png,415,63,437,101,𒋙,p_308_line_2_pos_9.png
\content\images\308.png,436,63,459,94,𒃻,p_308_line_2_pos_10.png
\content\images\308.png,463,63,479,91,𒁹,p_308_line_2_pos_11.png
\content\images\308.png,487,61,549,94,𒀭+𒈾,p_308_line_2_pos_12.png
\content\images\308.png,10,111,65,143,𒈪,p_308_line_3_pos_1.png
\content\images\308.png,66,113,122,146,𒈲,p_308_line_3_pos_2.png
\content\images\308.png,217,111,262,144,𒇻,p_308_line_3_pos_4.png
\content\images\308.png,270,112,314,143,𒌑,p_308_line_3_pos_5.png
\content\images\308.png,341,111,386,144,𒍑,p_308_line_3_pos_6.png
\content\images\308.png,467,110,511,144,𒁺,p_308_line_3_pos_8.png
\content\images\308.png,15,165,35,193,𒀀,p_308_line_4_pos_1.png
\content\images\308.png,37,165,77,202,𒋙,p_308_line_4_pos_2.png
\content\images\308.png,14,213,36,245,𒃻,p_308_line_5_pos_1.png
\content\images\308.png,51,215,87,241,𒉡,p_308_line_5_pos_2.png
\content\images\308.png,100,212,146,243,𒌑,p_308_line_5_pos_3.png
\content\images\308.png,602,213,641,242,𒆰,p_308_line_5_pos_13.png
\content\images\308.png,649,213,685,243,𒆕,p_308_line_5_pos_14.png
\content\images\308.png,13,263,36,292,𒀀,p_308_line_6_pos_1.png
\content\images\308.png,39,265,59,301,𒋙,p_308_line_6_pos_2.png
\content\images\308.png,63,264,84,295,𒃻,p_308_line_6_pos_3.png
\content\images\308.png,93,264,109,292,𒁹,p_308_line_6_pos_4.png
\content\images\308.png,159,261,214,295,𒅀,p_308_line_6_pos_6.png
\content\images\308.png,234,263,255,294,𒃻,p_308_line_6_pos_7.png
\content\images\308.png,269,262,289,291,𒁹,p_308_line_6_pos_8.png
\content\images\308.png,295,263,360,301,𒀭+𒂗,p_308_line_6_pos_9.png
\content\images\308.png,370,261,416,295,𒋀,p_308_line_6_pos_10.png
\content\images\308.png,429,261,467,293,𒈬,p_308_line_6_pos_11.png
\content\images\308.png,480,263,509,292,𒀀,p_308_line_6_pos_12.png
\content\images\308.png,511,262,552,303,𒋙,p_308_line_6_pos_13.png
\content\images\308.png,9,313,26,343,𒁹,p_308_line_7_pos_1.png
\content\images\308.png,35,312,117,343,𒀭+𒈾,p_308_line_7_pos_2.png
\content\images\308.png,126,313,178,345,𒋼𒀀,p_308_line_7_pos_3.png
\content\images\308.png,198,312,249,345,𒍣,p_308_line_7_pos_4.png
\content\images\308.png,257,311,299,342,𒈨𒌍,p_308_line_7_pos_5.png
\content\images\308.png,320,312,348,342,𒀀,p_308_line_7_pos_6.png
\content\images\308.png,356,308,397,342,𒈾,p_308_line_7_pos_7.png
\content\images\308.png,409,311,453,342,𒂍,p_308_line_7_pos_8.png
\content\images\308.png,11,350,31,377,𒃻,p_308_line_8_pos_1.png
\content\images\308.png,41,350,68,377,𒊺,p_308_line_8_pos_2.png
\content\images\308.png,69,349,92,376,𒁇,p_308_line_8_pos_3.png
\content\images\308.png,110,349,137,377,𒀀,p_308_line_8_pos_4.png
\content\images\308.png,145,349,184,379,𒈾,p_308_line_8_pos_5.png
\content\images\308.png,196,351,214,378,𒁹,p_308_line_8_pos_6.png
\content\images\308.png,223,351,261,378,𒀭,p_308_line_8_pos_7.png
\content\images\308.png,264,349,293,378,𒌓,p_308_line_8_pos_8.png
\content\images\308.png,300,349,329,379,𒁷,p_308_line_8_pos_9.png
\content\images\308.png,336,351,394,382,𒀉,p_308_line_8_pos_10.png
\content\images\308.png,411,351,439,380,𒀀,p_308_line_8_pos_11.png
\content\images\308.png,444,350,487,385,𒋙,p_308_line_8_pos_12.png
\content\images\308.png,11,380,68,411,𒀉,p_308_line_9_pos_1.png
\content\images\308.png,75,381,107,414,𒁷,p_308_line_9_pos_2.png
\content\images\308.png,123,381,160,412,𒉡,p_308_line_9_pos_3.png
\content\images\308.png,163,383,222,416,𒀪,p_308_line_9_pos_4.png
\content\images\308.png,58,414,108,445,𒆰,p_308_line_10_pos_2.png
\content\images\308.png,106,416,190,448,𒄿,p_308_line_10_pos_3.png
\content\images\308.png,299,414,334,441,𒄿,p_308_line_10_pos_6.png
\content\images\308.png,78,452,109,476,𒈨,p_308_line_11_pos_3.png
\content\images\308.png,122,453,144,484,𒋙,p_308_line_11_pos_4.png
\content\images\308.png,167,449,191,476,𒀀,p_308_line_11_pos_5.png
\content\images\308.png,193,443,235,479,𒊮,p_308_line_11_pos_6.png
\content\images\308.png,253,449,289,478,𒄿,p_308_line_11_pos_7.png
\content\images\308.png,306,447,375,477,𒉆,p_308_line_11_pos_8.png
\content\images\308.png,387,446,418,477,𒁷,p_308_line_11_pos_9.png
\content\images\308.png,437,447,468,476,𒉡,p_308_line_11_pos_10.png
\content\images\308.png,400,484,444,513,𒄿,p_308_line_12_pos_8.png
\content\images\308.png,48,519,88,551,𒋡,p_308_line_13_pos_2.png
\content\images\308.png,101,516,137,547,𒉡,p_308_line_13_pos_3.png
\content\images\308.png,150,519,194,552,𒌑,p_308_line_13_pos_4.png
\content\images\308.png,227,518,267,551,𒌑,p_308_line_13_pos_5.png
\content\images\308.png,355,519,402,549,𒊑,p_308_line_13_pos_7.png
\content\images\308.png,7,564,26,590,𒌋,p_308_line_14_pos_1.png
\content\images\308.png,105,561,150,594,𒇻,p_308_line_14_pos_3.png
\content\images\308.png,178,559,214,594,𒄿,p_308_line_14_pos_4.png
\content\images\308.png,226,560,274,595,𒁍,p_308_line_14_pos_5.png
\content\images\308.png,287,561,338,594,𒍑,p_308_line_14_pos_6.png
\content\images\308.png,373,559,412,593,𒇽,p_308_line_14_pos_7.png
\content\images\308.png,431,557,470,589,𒈬,p_308_line_14_pos_8.png
\content\images\308.png,484,559,540,600,𒆥,p_308_line_14_pos_9.png
\content\images\308.png,548,554,590,588,𒉡,p_308_line_14_pos_10.png
\content\images\308.png,11,610,26,643,𒁹,p_308_line_15_pos_1.png
\content\images\308.png,35,611,78,640,𒀭,p_308_line_15_pos_2.png
\content\images\308.png,78,609,147,643,𒀫,p_308_line_15_pos_3.png
